Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
BAL2015,48,27.9,4.31,132,4863,4464,569,1125,196,18,170,549,37,20,316,1095,.252,.305,.418,.723,97,1867,109,36,17,29,16,788
BOS2015,49,28.7,4.50,132,5062,4581,594,1210,227,31,128,563,58,17,382,910,.264,.324,.411,.735,98,1883,103,40,25,33,23,937
CHW2015,36,28.4,3.84,130,4867,4451,499,1119,217,20,106,474,52,34,306,985,.251,.306,.381,.686,94,1694,98,55,25,29,16,853
CLE2015,45,28.2,4.10,131,5000,4435,537,1136,246,20,109,515,70,23,447,939,.256,.326,.394,.720,95,1749,114,31,41,45,31,950
DET2015,46,28.4,4.37,131,4997,4556,573,1239,235,41,132,547,71,42,365,1008,.272,.328,.428,.757,108,1952,121,32,16,28,33,896
HOU2015,45,26.7,4.32,133,4946,4456,575,1081,217,18,180,544,100,39,398,1167,.243,.308,.421,.729,99,1874,83,40,19,33,16,825
KCR2015,41,29.2,4.38,131,4899,4475,574,1207,234,35,103,547,88,27,297,748,.270,.322,.407,.729,98,1820,114,64,27,36,22,868
LAA2015,48,28.7,3.98,132,4882,4413,526,1075,190,14,139,495,41,29,359,942,.244,.305,.387,.693,96,1710,93,47,30,32,28,829
MIN2015,43,28.4,4.37,131,4823,4404,572,1097,227,36,125,543,57,36,328,1019,.249,.303,.402,.705,92,1771,103,30,26,35,27,772
NYY2015,51,31.4,4.83,131,5085,4518,633,1150,231,15,172,608,48,20,443,987,.255,.325,.427,.752,108,1927,89,52,22,45,19,927
OAK2015,47,28.0,4.14,133,5032,4577,551,1156,239,32,108,525,69,22,378,891,.253,.311,.390,.701,93,1783,99,28,12,34,21,907
SEA2015,45,28.8,3.90,133,5038,4566,519,1123,217,19,161,493,59,34,384,1103,.246,.307,.408,.714,102,1861,92,29,31,28,25,901
TBR2015,51,28.6,3.79,132,4905,4429,500,1100,217,29,126,475,76,37,356,1056,.248,.311,.396,.707,97,1753,93,66,18,36,17,870
TEX2015,56,28.6,4.45,131,4977,4471,583,1149,220,26,136,543,78,30,373,1001,.257,.320,.409,.729,97,1829,81,58,33,42,24,896
TOR2015,50,29.5,5.49,132,5038,4466,725,1186,248,12,185,693,67,19,451,926,.266,.335,.451,.786,116,2013,114,40,29,51,8,826
BAL2014,20,27.7,3.66,96,66,.593,3.43,162,162,159,3,13,2,53,1461.1,1342,593,557,151,472,25,1174,59,2,42,6104,113,3.96,1.241,8.3,0.9,2.9,7.2,2.49,1127
BOS2014,25,29.9,4.41,71,91,.438,4.01,162,162,159,3,7,2,36,1465.2,1458,715,653,154,482,19,1213,47,5,51,6231,97,3.93,1.324,9.0,0.9,3.0,7.4,2.52,1119
CHW2014,26,27.4,4.68,73,89,.451,4.29,162,162,159,3,6,0,36,1441.0,1468,758,687,140,557,42,1152,69,3,75,6255,89,4.09,1.405,9.2,0.9,3.5,7.2,2.07,1174
CLE2014,22,27.2,4.03,85,77,.525,3.56,162,162,156,6,15,4,40,1468.1,1398,653,581,135,464,51,1450,58,2,56,6193,108,3.42,1.268,8.6,0.8,2.8,8.9,3.13,1135
DET2014,30,28.5,4.35,90,72,.556,4.01,162,162,157,5,8,4,41,1454.0,1475,705,648,127,462,34,1244,42,9,43,6191,99,3.60,1.332,9.1,0.8,2.9,7.7,2.69,1124
HOU2014,28,27.9,4.46,70,92,.432,4.11,162,162,155,7,3,2,31,1438.2,1437,723,657,139,484,32,1137,52,7,57,6154,95,3.93,1.335,9.0,0.9,3.0,7.1,2.35,1115
KCR2014,23,28.9,3.85,89,73,.549,3.51,162,162,159,3,14,2,53,1450.2,1386,624,565,128,440,14,1168,56,6,58,6101,113,3.69,1.259,8.6,0.8,2.7,7.2,2.65,1125
LAA2014,31,28.4,3.89,98,64,.605,3.58,162,162,159,3,13,2,46,1482.2,1307,630,590,126,504,41,1342,63,4,74,6179,102,3.57,1.221,7.9,0.8,3.1,8.1,2.66,1101
MIN2014,23,29.2,4.80,70,92,.432,4.57,162,162,160,2,7,0,38,1435.0,1588,777,728,147,408,24,1031,45,6,50,6212,87,3.97,1.391,10.0,0.9,2.6,6.5,2.53,1130
NYY2014,33,29.3,4.10,84,78,.519,3.75,162,162,157,5,10,2,48,1453.0,1392,664,605,164,398,23,1370,65,6,49,6114,104,3.67,1.232,8.6,1.0,2.5,8.5,3.44,1091
OAK2014,22,28.2,3.53,88,74,.543,3.22,162,162,155,7,13,3,31,1463.1,1269,572,524,147,406,28,1244,48,1,59,5972,117,3.67,1.145,7.8,0.9,2.5,7.7,3.06,1010
SEA2014,20,29.0,3.42,87,75,.537,3.17,162,162,160,2,9,1,51,1452.0,1240,554,512,137,463,36,1317,52,8,80,5974,114,3.61,1.173,7.7,0.8,2.9,8.2,2.84,1064
TBR2014,23,28.4,3.86,77,85,.475,3.56,162,162,159,3,22,1,37,1463.2,1292,625,579,145,482,27,1437,58,3,65,6131,106,3.56,1.212,7.9,0.9,3.0,8.8,2.98,1115
TEX2014,40,27.9,4.77,67,95,.414,4.49,162,162,156,6,17,4,33,1426.1,1510,773,711,160,505,43,1110,61,7,61,6195,87,4.22,1.413,9.5,1.0,3.2,7.0,2.20,1143
TOR2014,27,29.6,4.23,83,79,.512,4.00,162,162,159,3,16,2,45,1443.0,1400,686,642,151,490,23,1199,57,5,43,6150,96,3.97,1.310,8.7,0.9,3.1,7.5,2.45,1135
BAL2013,26,27.9,4.38,85,77,.525,4.20,162,162,160,2,6,1,57,1453.0,1438,709,678,202,473,32,1169,50,3,38,6144,98,4.33,1.315,8.9,1.3,2.9,7.2,2.47,1076
BOS2013,26,30.2,4.05,97,65,.599,3.79,162,162,157,5,8,2,33,1454.0,1366,656,613,156,524,10,1294,47,5,47,6143,109,3.84,1.300,8.5,1.0,3.2,8.0,2.47,1125
CHW2013,24,27.1,4.46,63,99,.389,3.98,162,162,157,5,5,1,40,1455.0,1424,723,643,182,509,24,1249,60,4,62,6214,106,4.13,1.329,8.8,1.1,3.1,7.7,2.45,1126
CLE2013,28,27.5,4.09,92,70,.568,3.82,162,162,159,3,16,3,38,1441.1,1359,662,611,147,554,26,1379,58,3,71,6154,100,3.73,1.327,8.5,0.9,3.5,8.6,2.49,1168
DET2013,20,28.4,3.85,93,69,.574,3.61,162,162,159,3,12,1,39,1462.2,1369,624,587,128,462,29,1428,42,7,63,6119,116,3.27,1.252,8.4,0.8,2.8,8.8,3.09,1107
HOU2013,26,27.2,5.23,51,111,.315,4.79,162,162,160,2,5,1,32,1440.0,1530,848,766,191,616,32,1084,56,6,61,6370,85,4.67,1.490,9.6,1.2,3.9,6.8,1.76,1202
KCR2013,20,28.9,3.71,86,76,.531,3.45,162,162,157,5,12,2,52,1448.1,1366,601,555,155,469,21,1208,41,4,60,6049,120,3.83,1.267,8.5,1.0,2.9,7.5,2.58,1103
LAA2013,26,29.1,4.55,78,84,.481,4.23,162,162,158,4,12,2,41,1457.2,1475,737,685,167,533,36,1200,45,4,74,6298,89,4.08,1.378,9.1,1.0,3.3,7.4,2.25,1188
MIN2013,23,28.3,4.86,66,96,.407,4.55,162,162,161,1,7,1,40,1450.1,1591,788,733,168,458,31,985,44,4,50,6257,90,4.23,1.413,9.9,1.0,2.8,6.1,2.15,1118
NYY2013,24,31.8,4.14,85,77,.525,3.94,162,162,155,7,10,3,49,1447.1,1452,671,633,171,437,34,1233,51,1,57,6128,102,3.89,1.305,9.0,1.1,2.7,7.7,2.82,1115
OAK2013,18,28.3,3.86,96,66,.593,3.56,162,162,156,6,13,4,46,1452.0,1339,625,574,163,428,23,1183,35,1,56,6069,109,3.83,1.217,8.3,1.0,2.7,7.3,2.76,1088
SEA2013,22,28.0,4.65,71,91,.438,4.31,162,162,158,4,14,2,43,1465.0,1467,754,702,174,478,48,1297,42,1,74,6257,86,3.89,1.328,9.0,1.1,2.9,8.0,2.71,1108
TBR2013,21,29.0,3.96,92,71,.564,3.74,163,163,154,9,17,3,42,1464.0,1315,646,608,153,482,38,1310,52,6,69,6083,103,3.71,1.227,8.1,0.9,3.0,8.1,2.72,1045
TEX2013,25,27.9,3.90,91,72,.558,3.62,163,163,159,4,10,2,46,1463.1,1370,636,589,157,498,35,1309,48,5,68,6146,114,3.77,1.277,8.4,1.0,3.1,8.1,2.63,1120
TOR2013,31,30.9,4.67,74,88,.457,4.25,162,162,158,4,11,2,39,1452.0,1451,756,685,195,500,33,1208,65,7,54,6250,97,4.30,1.344,9.0,1.2,3.1,7.5,2.42,1138